neuronsPerLayer,hiddenLayers,problem,gen
1,1,14
1,2,14
1,3,14
1,4,14
1,5,14
1,6,14
1,7,14
1,8,14
2,1,14
2,2,14
2,3,14
2,4,14
2,5,14
2,6,14
2,7,14
2,8,14
3,1,14
3,2,14
3,3,14
3,4,14
3,5,14
3,6,14
3,7,14
3,8,14
4,1,14
4,2,14
4,3,14
4,4,14
4,5,14
4,6,14
4,7,14
4,8,14
5,1,14
5,2,14
5,3,14
5,4,14
5,5,14
5,6,14
5,7,14
5,8,14
6,1,14
6,2,14
6,3,14
6,4,14
6,5,14
6,6,14
6,7,14
6,8,14
7,1,14
7,2,14
7,3,14
7,4,14
7,5,14
7,6,14
7,7,14
7,8,14
8,1,14
8,2,14
8,3,14
8,4,14
8,5,14
8,6,14
8,7,14
8,8,14
neuronsPerLayer,hiddenLayers,problem,gen
1,1,14
1,2,14
1,3,14
1,4,14
1,5,14
1,6,14
1,7,14
1,8,14
2,1,14
2,2,14
2,3,14
2,4,14
2,5,14
2,6,14
2,7,14
2,8,14
3,1,14
3,2,14
3,3,14
3,4,14
3,5,14
3,6,14
3,7,14
3,8,14
4,1,14
4,2,14
4,3,14
4,4,14
4,5,14
4,6,14
4,7,14
4,8,14
5,1,14
5,2,14
5,3,14
5,4,14
5,5,14
5,6,14
5,7,14
5,8,14
6,1,14
6,2,14
6,3,14
6,4,14
6,5,14
6,6,14
6,7,14
6,8,14
7,1,14
7,2,14
7,3,14
7,4,14
7,5,14
7,6,14
7,7,14
7,8,14
8,1,14
8,2,14
8,3,14
8,4,14
8,5,14
8,6,14
8,7,14
8,8,14
